"","Name.of.the.Station","Jan.Max.","Jan.Min.","Feb.Max.","Feb.Min.","Mar.Max.","Mar.Min.","Apr.Max.","Apr.Min.","May.Max.","May.Min.","Jun.Max.","Jun.Min.","Jul.Max.","Jul.Min.","Aug.Max.","Aug.Min.","Sep.Max.","Sep.Min.","Oct.Max.","Oct.Min.","Nov.Max.","Nov.Min.","Dec.Max.","Dec.Min."
"1","Ambala",26,14,30,16,34,22,36,24,36,26,35,27,32,26,32,26,32,25,31,24,29,28,26,15
"2","Bhiwani",27.2857142857143,14.6923076923077,31,17,36,22,37,25,37,26,36,26,32,26,30,25,32,24,31,23,30,17,26,13
"3","Faridabad",28,14,31,15,37,21,36,23,37,26,36,25,32,24,32,24,32,23,31,22,31,17,27,14
"4","Gurugram",26,16,29,20,31,24,31,26,34,28,32,27,31,27,31,26,32,26,31,26,31,21,28,17
"5","Hisar",28,15,32,17,37,23,36,25,40,27,37,27,32,26,32,25,32,25,31,24,31,18,28,15
"6","Jhajar",27,16,30,18,31,22,30,24,33,27,32,27,31,26,32,26,32,26,31,24,31,19,28,16
"7","Jind",25,17,29,21,30,25,31,25,32,28,32,28,31,27,32,27,32,27,31,25,31,21,27,18
"8","kaithal",28,10,31,12,34.3333333333333,21.3333333333333,39,21,36,23,38,24,32,23,32,22,31,22,30.5333333333333,22,29,14,27,10
"9","karnal",27.2857142857143,14.6923076923077,29.9333333333333,16.2,34.3333333333333,21.3333333333333,35.2666666666667,23.7857142857143,39,26,36,27,31,26,33,26,32,26,30,23,28,17,25,14
"10","kurushetra",27,13,30,14,37,20,39,25,42,28,39,27,32,25,31,25,30,25,29,23,30,16,26,13
"11","mahendragargh",26,11,29,13,35,19,37,24,37,23,35,24,31,23,30,23,30,22,29,20,28,14,24,11
"12","Nuh",27,11,30,14,36,18,38,24,43,24,39,23,33,22,31,21,30,20,32,19,29,12,26,9
"13","Palwal",27.2857142857143,14.6923076923077,29.9333333333333,16.2,34.3333333333333,21.3333333333333,35.2666666666667,23.7857142857143,44,26.1666666666667,40,25,32,23,31,23,30,23,30,20,29.5333333333333,14.6923076923077,26.8,13.5294117647059
"14","panchkula",27.2857142857143,14.6923076923077,29.9333333333333,16.2,34.3333333333333,21.3333333333333,35.2666666666667,23.7857142857143,43,26,40,27,31,23,30,24,30,24,31,20,30,15,26,10
"15","panipat",28,14.6923076923077,33,17,37,19,41,25,43,28,36.1875,25.8125,31.1176470588235,24.4705882352941,31.0625,24.2352941176471,30.875,24,30.5333333333333,22,29.5333333333333,14.6923076923077,26.8,13.5294117647059
"16","rewari",27.2857142857143,14.6923076923077,29.9333333333333,16.2,34,19,34,21,39,26.1666666666667,31,22,25,21,26,21,26,21,28,19,24,14,29,11
"17","rohtak",27.2857142857143,14.6923076923077,29.9333333333333,16.2,34.3333333333333,21.3333333333333,35.2666666666667,23.7857142857143,40,25,36.1875,25.8125,31.1176470588235,24.4705882352941,31.0625,24.2352941176471,30.875,24,30.5333333333333,22,29.5333333333333,14.6923076923077,26.8,13.5294117647059
"18","sirsa",29,12,32,12,39,18,41,21,45,29,41,27,32,24,32,23,31,23,32,21,31,15,29,11
"19","sonipat",27.2857142857143,20,29.9333333333333,19,30,21.3333333333333,35.2666666666667,23.7857142857143,38.6842105263158,26.1666666666667,36.1875,25.8125,31.1176470588235,24.4705882352941,31.0625,24.2352941176471,30.875,24,30.5333333333333,22,29.5333333333333,14.6923076923077,26.8,13.5294117647059
"20","yamunanagar",29,14.6923076923077,27,16.2,34.3333333333333,24,35.2666666666667,23.7857142857143,38.6842105263158,26.1666666666667,36.1875,25.8125,31.1176470588235,24.4705882352941,31.0625,24.2352941176471,30.875,24,30.5333333333333,22,29.5333333333333,14.6923076923077,26.8,16
"21","Charkhi dadri",27.2857142857143,22,29.9333333333333,16.2,31,21.3333333333333,23,23.7857142857143,38.6842105263158,24,36.1875,25.8125,29,24.4705882352941,31.0625,25,30.875,26,30.5333333333333,22,29.5333333333333,14.6923076923077,26.8,13.5294117647059
"22","Fatehbad",28,14.6923076923077,25,18,34.3333333333333,24,35.2666666666667,23.7857142857143,35,27,36.1875,25.8125,31.1176470588235,24,31.0625,24.2352941176471,30.875,24,30.5333333333333,19,29.5333333333333,18,26.8,17
