District ,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Actual,Normal,% of Dev
Ambala,67.2,18.1,3.8,22.7,98.4,630.8,263.5,286.7,299.5,10.3,0,0,1701,1592,6.8
Bhiwani,30.4,2.9,9.8,39,54.3,444.5,145.4,213.8,323.5,21.7,0,0,1285.3,1427.9,-10
Faridabad,8.8,11.9,8.6,22.4,1.9,267.7,335.4,505.1,472.5,6.7,0,0,1641,1289.8,27.2
Gurugram,16.5,10.3,2.7,14.3,0,353.2,361.8,377.3,348.3,4.3,0,0,1488.7,1418.5,4.9
Hisar,32.8,9.9,25.1,61.9,78,413.9,280.2,428.4,495.8,26.7,0.3,0,1853,1424.3,30.1
Jhajar,11,26.1,1.6,127.6,63.4,347.4,253.5,417.3,372,68.6,0,0,1688.5,1514.6,11.5
Jind,27.7,4.8,14,30.1,68.2,423,150.8,245.8,491.6,13.2,0,0,1469.2,1559.9,-5.8
kaithal,31.4,14.9,5,78.9,83.6,431,176,253.1,510,75,0,0,1658.9,1556,6.6
karnal,73,4,8.5,16.7,56.8,301.7,275,346.9,327.8,18.3,0,0,1428.7,1428.8,0
kurushetra,53.7,4,4.1,31.1,36,371.4,269.9,283.5,348.5,19.8,0.2,0,1422.2,1401.9,1.4
mahendragargh,3.8,11.6,21.5,19.4,61.9,192.3,225.6,275,303.4,27.5,19.9,0,1161.9,1276.2,-9
Nuh,31.7,36.6,70.5,33.1,97.8,97.4,267.3,322.5,293.9,26.1,2.4,0,1279.3,1403.3,-8.8
Palwal,21.7,2.5,2.6,1.5,0,348.9,304.2,733.7,455.4,14.9,0,0,1885.4,1330.5,41.7
panchkula,10.7,2.5,0,8.8,0,168.8,193.7,349.2,563.8,14.9,0,0,1312.4,1286.4,2
panipat,60.3,0.6,2.8,23.9,70.1,545.4,332.4,268,332.7,10.1,1.5,0,1647.8,1487.7,10.8
rewari,0,0.6,44,18.4,17.6,197.6,229.4,427.3,313,48.3,2.6,0,1298.8,1567.2,-17.1
rohtak,0,0,0,9,4.2,280.8,477.9,396.3,157.9,23.7,0,0,1349.8,1667.6,-19.1
sirsa,8.4,28.7,34.1,34.8,39.4,283.4,365.4,635.1,382.5,26.4,0,0,1838.2,1569.5,17.1
sonipat,2.5,12.6,60.6,35,19.4,156.1,215.7,381.8,375,26.9,0.1,0,1285.7,1285.9,0
yamunanagar,51.7,0.9,25.4,42.3,97.2,666.8,295.1,278.8,281,20.2,3.6,0,1763,1600.6,10.1
Charkhi dadri,58.3,8.9,38.5,58.3,25.6,225.7,238.9,433,550.7,47,1.3,0,1686.2,1427.9,18.1
Fatehbad,51.3,3,4.7,18.7,0,366.2,306.9,407.3,350.2,17,0,0,1525.3,1623.1,-6
State Average,27.8,11,14.6,31.5,37.7,338.4,297.5,377.4,362.2,23,2.5,0,1523.6,1451.2,0.8
